epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1025.36,0.78674,0.42097,0.91372,0.97818,0.97078,0.9896,0.80524,0.67269,0.36575,0.89842,0.0095941,0.0095941,0.0095941
43,1049.9,0.78951,0.42316,0.91316,0.97573,0.9791,0.99169,0.79914,0.69999,0.36272,0.90828,0.0095842,0.0095842,0.0095842
44,1072.74,0.79159,0.41543,0.91778,0.9781,0.98214,0.99029,0.81051,0.66023,0.35456,0.89724,0.0095743,0.0095743,0.0095743
45,1097.12,0.77276,0.42886,0.90982,0.98183,0.97727,0.99004,0.81103,0.68319,0.36569,0.89786,0.0095644,0.0095644,0.0095644
46,1119.98,0.7672,0.4198,0.90799,0.98211,0.98027,0.99085,0.8214,0.65373,0.34712,0.89071,0.0095545,0.0095545,0.0095545
47,1143.38,0.77941,0.41768,0.91709,0.97999,0.9789,0.99368,0.81447,0.6693,0.35482,0.89201,0.0095446,0.0095446,0.0095446
48,1166.49,0.77215,0.41192,0.90967,0.99013,0.97741,0.99215,0.81437,0.69595,0.35351,0.89368,0.0095347,0.0095347,0.0095347
49,1190.28,0.77069,0.41682,0.91509,0.98531,0.97982,0.99249,0.82211,0.68144,0.35106,0.89439,0.0095248,0.0095248,0.0095248
50,1213.86,0.78083,0.40673,0.91138,0.99013,0.9769,0.99291,0.82448,0.6431,0.34632,0.87843,0.0095149,0.0095149,0.0095149
51,1237.9,0.78053,0.4165,0.92055,0.98372,0.98072,0.98848,0.78565,0.70585,0.36748,0.91819,0.009505,0.009505,0.009505
52,1261.87,0.77667,0.40305,0.91903,0.98695,0.9819,0.99266,0.79922,0.67854,0.35091,0.91669,0.0094951,0.0094951,0.0094951
53,1284.85,0.77688,0.40679,0.91025,0.98379,0.98539,0.9914,0.82035,0.67228,0.35125,0.89397,0.0094852,0.0094852,0.0094852
54,1308.87,0.76669,0.4082,0.90476,0.98606,0.9789,0.99291,0.81333,0.66104,0.34817,0.89227,0.0094753,0.0094753,0.0094753
55,1331.78,0.77098,0.40127,0.91194,0.9817,0.98377,0.99041,0.82332,0.65057,0.33779,0.88979,0.0094654,0.0094654,0.0094654
56,1356.14,0.75923,0.40162,0.90669,0.99176,0.97718,0.99126,0.80204,0.6935,0.34389,0.92975,0.0094555,0.0094555,0.0094555
57,1379.07,0.7472,0.40747,0.90889,0.97998,0.98214,0.99237,0.82576,0.64818,0.33987,0.89072,0.0094456,0.0094456,0.0094456
58,1402.91,0.74876,0.39382,0.90837,0.98622,0.9789,0.99339,0.82618,0.66153,0.33756,0.89051,0.0094357,0.0094357,0.0094357
59,1426.2,0.75001,0.40418,0.90496,0.98692,0.98011,0.99349,0.8355,0.63979,0.3408,0.88541,0.0094258,0.0094258,0.0094258
60,1449.98,0.74676,0.38935,0.90416,0.98845,0.9721,0.99126,0.81051,0.66677,0.34017,0.90873,0.0094159,0.0094159,0.0094159
61,1472.59,0.74869,0.40408,0.90338,0.98215,0.98266,0.99383,0.82991,0.64172,0.33849,0.88229,0.009406,0.009406,0.009406
62,1497.65,0.74576,0.39165,0.90264,0.98217,0.98362,0.99137,0.82425,0.65838,0.33321,0.89442,0.0093961,0.0093961,0.0093961
63,1521.8,0.73667,0.39604,0.90033,0.98169,0.9789,0.99355,0.82714,0.64493,0.33477,0.89143,0.0093862,0.0093862,0.0093862
64,1546.85,0.75066,0.39548,0.90686,0.99025,0.96591,0.99283,0.82322,0.65095,0.3447,0.8828,0.0093763,0.0093763,0.0093763
65,1570.88,0.74103,0.38471,0.90131,0.99199,0.98052,0.99253,0.83251,0.65418,0.33352,0.88625,0.0093664,0.0093664,0.0093664
66,1594.69,0.74724,0.3955,0.90175,0.98895,0.9789,0.99079,0.81674,0.65541,0.33527,0.90048,0.0093565,0.0093565,0.0093565
67,1617.88,0.75119,0.39122,0.90573,0.98902,0.97565,0.99395,0.82477,0.6591,0.33678,0.89473,0.0093466,0.0093466,0.0093466
68,1641.12,0.7544,0.39729,0.90483,0.99013,0.97724,0.99389,0.82034,0.6717,0.34121,0.91081,0.0093367,0.0093367,0.0093367
69,1665.08,0.7657,0.395,0.91266,0.98052,0.98075,0.99125,0.80099,0.67948,0.34327,0.90552,0.0093268,0.0093268,0.0093268
70,1688.02,0.74587,0.38883,0.89909,0.98588,0.98539,0.99326,0.82916,0.64154,0.33053,0.88885,0.0093169,0.0093169,0.0093169
71,1712.72,0.74779,0.39011,0.90278,0.99015,0.97958,0.99337,0.82802,0.66664,0.33899,0.90254,0.009307,0.009307,0.009307
72,1735.88,0.72677,0.38927,0.9044,0.99181,0.98303,0.99229,0.83017,0.64948,0.32719,0.89124,0.0092971,0.0092971,0.0092971
73,1760.05,0.73516,0.3772,0.89861,0.98685,0.97484,0.99303,0.82417,0.66078,0.33281,0.88977,0.0092872,0.0092872,0.0092872
74,1783.49,0.73554,0.38666,0.89805,0.99177,0.97783,0.99194,0.81449,0.69845,0.33555,0.89723,0.0092773,0.0092773,0.0092773
75,1807.88,0.73401,0.38987,0.8986,0.98465,0.99188,0.99366,0.82621,0.63866,0.32996,0.88401,0.0092674,0.0092674,0.0092674
76,1831.28,0.72417,0.37337,0.90217,0.98853,0.97922,0.99357,0.83109,0.65674,0.3282,0.90522,0.0092575,0.0092575,0.0092575
77,1856.1,0.73039,0.38279,0.89934,0.97745,0.9853,0.99381,0.82887,0.6508,0.32843,0.89418,0.0092476,0.0092476,0.0092476
78,1879.53,0.73613,0.38058,0.90081,0.9821,0.97964,0.99378,0.8316,0.65137,0.32571,0.89824,0.0092377,0.0092377,0.0092377
79,1904.58,0.72736,0.38044,0.89836,0.98857,0.98294,0.99219,0.82733,0.66819,0.32877,0.88778,0.0092278,0.0092278,0.0092278
80,1927.62,0.74005,0.38104,0.90339,0.99019,0.98286,0.99412,0.83485,0.64368,0.3266,0.88981,0.0092179,0.0092179,0.0092179
81,1950.91,0.73132,0.37416,0.89551,0.98537,0.97565,0.99305,0.82443,0.64595,0.3196,0.89128,0.009208,0.009208,0.009208
82,1975.82,0.7154,0.37997,0.89437,0.97885,0.97656,0.9932,0.83337,0.64115,0.33065,0.88584,0.0091981,0.0091981,0.0091981
83,1999.53,0.72998,0.38253,0.89927,0.98793,0.98214,0.99277,0.82967,0.65291,0.33484,0.88997,0.0091882,0.0091882,0.0091882
84,2024.03,0.73132,0.37566,0.90422,0.99017,0.98112,0.99357,0.83392,0.63669,0.32213,0.88413,0.0091783,0.0091783,0.0091783
85,2047.43,0.72728,0.37474,0.90128,0.97893,0.98048,0.99289,0.83114,0.64766,0.32124,0.89512,0.0091684,0.0091684,0.0091684
86,2070.99,0.72282,0.37546,0.89686,0.98372,0.98106,0.99302,0.83734,0.64346,0.32346,0.88289,0.0091585,0.0091585,0.0091585
87,2095.43,0.72136,0.37651,0.89261,0.99345,0.98453,0.99381,0.83871,0.62549,0.31322,0.88719,0.0091486,0.0091486,0.0091486
88,2119.13,0.70504,0.36663,0.88543,0.98851,0.97793,0.99368,0.84369,0.62478,0.31441,0.88762,0.0091387,0.0091387,0.0091387
89,2142.93,0.7172,0.36862,0.89986,0.98132,0.9789,0.9936,0.84414,0.61831,0.32072,0.88098,0.0091288,0.0091288,0.0091288
90,2167.03,0.71259,0.37351,0.89559,0.98369,0.9793,0.99372,0.84573,0.62404,0.31533,0.8805,0.0091189,0.0091189,0.0091189
91,2190.47,0.70451,0.3664,0.89854,0.98573,0.97727,0.9931,0.83527,0.63546,0.32491,0.89037,0.009109,0.009109,0.009109
92,2214.45,0.70194,0.37091,0.89171,0.98436,0.98214,0.99307,0.84072,0.64737,0.32092,0.88916,0.0090991,0.0090991,0.0090991
93,2237.33,0.69978,0.36438,0.88913,0.9856,0.97727,0.99274,0.83876,0.62448,0.3149,0.88524,0.0090892,0.0090892,0.0090892
94,2260.55,0.70485,0.36246,0.89138,0.99411,0.9789,0.9933,0.84707,0.62751,0.31523,0.87845,0.0090793,0.0090793,0.0090793
95,2285.05,0.71561,0.3723,0.89504,0.99147,0.98052,0.9922,0.83774,0.63733,0.31336,0.88476,0.0090694,0.0090694,0.0090694
96,2308.58,0.69878,0.36898,0.88876,0.98371,0.98377,0.99252,0.84756,0.6164,0.31433,0.89094,0.0090595,0.0090595,0.0090595
97,2332.36,0.70078,0.36557,0.8883,0.98302,0.98377,0.99254,0.84357,0.6291,0.3168,0.87936,0.0090496,0.0090496,0.0090496
98,2355.49,0.68797,0.36298,0.88213,0.99013,0.97747,0.99291,0.84209,0.61876,0.31463,0.8805,0.0090397,0.0090397,0.0090397
99,2378.97,0.69822,0.35779,0.89192,0.9889,0.98052,0.99324,0.85465,0.6194,0.3093,0.88085,0.0090298,0.0090298,0.0090298
100,2403.65,0.69919,0.36428,0.89027,0.99228,0.98052,0.99392,0.83997,0.63375,0.31544,0.89057,0.0090199,0.0090199,0.0090199
101,2426.68,0.69325,0.36164,0.89285,0.98857,0.98281,0.99394,0.83941,0.65561,0.31235,0.88946,0.00901,0.00901,0.00901
102,2451.08,0.688,0.35641,0.8861,0.9885,0.97643,0.99315,0.84385,0.62506,0.31024,0.88464,0.0090001,0.0090001,0.0090001
103,2474.19,0.69773,0.36217,0.88423,0.99015,0.97948,0.99408,0.85157,0.61592,0.30961,0.87794,0.0089902,0.0089902,0.0089902
104,2497.82,0.69585,0.36147,0.88951,0.98528,0.98052,0.9932,0.83771,0.62466,0.31561,0.88691,0.0089803,0.0089803,0.0089803
105,2522.2,0.69007,0.35881,0.88779,0.97884,0.98377,0.99252,0.84834,0.61807,0.30719,0.87691,0.0089704,0.0089704,0.0089704
106,2545.2,0.69651,0.36363,0.89139,0.98859,0.98482,0.9922,0.84639,0.61813,0.30848,0.8785,0.0089605,0.0089605,0.0089605
107,2569.43,0.68434,0.36076,0.88552,0.97935,0.98539,0.99374,0.85003,0.61678,0.30557,0.87963,0.0089506,0.0089506,0.0089506
108,2593.51,0.69444,0.35591,0.88887,0.98369,0.9788,0.99377,0.8438,0.6197,0.30727,0.8859,0.0089407,0.0089407,0.0089407
109,2617.12,0.69385,0.3598,0.88724,0.98716,0.98052,0.99289,0.84801,0.61391,0.30491,0.87979,0.0089308,0.0089308,0.0089308
110,2642.03,0.70181,0.35737,0.89318,0.98537,0.98409,0.99314,0.8472,0.60326,0.30365,0.88088,0.0089209,0.0089209,0.0089209
111,2665.28,0.69646,0.35533,0.88639,0.98539,0.98561,0.99269,0.85457,0.62508,0.30834,0.88588,0.008911,0.008911,0.008911
112,2688.64,0.67848,0.35013,0.88475,0.98216,0.98293,0.992,0.8469,0.63882,0.31404,0.8849,0.0089011,0.0089011,0.0089011
113,2712.13,0.67976,0.35411,0.88717,0.98698,0.98448,0.99335,0.85457,0.60031,0.29908,0.87322,0.0088912,0.0088912,0.0088912
114,2736.33,0.68883,0.35331,0.88758,0.99341,0.97944,0.99324,0.84465,0.62395,0.3067,0.88558,0.0088813,0.0088813,0.0088813
115,2759.86,0.6795,0.35665,0.88533,0.987,0.98577,0.99386,0.84311,0.664,0.31438,0.89161,0.0088714,0.0088714,0.0088714
116,2784.94,0.69916,0.35493,0.89759,0.99178,0.97878,0.99268,0.84642,0.6086,0.30182,0.88451,0.0088615,0.0088615,0.0088615
117,2807.88,0.67776,0.35038,0.87962,0.99021,0.98533,0.99303,0.84714,0.62931,0.30952,0.88367,0.0088516,0.0088516,0.0088516
118,2832.24,0.68585,0.34984,0.88229,0.99381,0.9789,0.9932,0.84579,0.63037,0.30239,0.88629,0.0088417,0.0088417,0.0088417
119,2855.6,0.67359,0.35091,0.88352,0.98855,0.98112,0.99363,0.84774,0.64477,0.31097,0.88917,0.0088318,0.0088318,0.0088318
120,2879.9,0.6725,0.35251,0.88607,0.987,0.98618,0.99254,0.85068,0.62832,0.30243,0.88344,0.0088219,0.0088219,0.0088219
121,2904.03,0.68395,0.34927,0.88576,0.97771,0.98214,0.99167,0.85452,0.60675,0.3009,0.88021,0.008812,0.008812,0.008812
122,2926.89,0.6797,0.34867,0.88259,0.98377,0.98422,0.99264,0.84917,0.61248,0.30128,0.88173,0.0088021,0.0088021,0.0088021
123,2950.45,0.69359,0.35422,0.88597,0.9874,0.98701,0.99334,0.85392,0.61443,0.30067,0.88157,0.0087922,0.0087922,0.0087922
124,2974.72,0.68619,0.34906,0.88756,0.98533,0.98105,0.99276,0.84596,0.61705,0.30077,0.88353,0.0087823,0.0087823,0.0087823
125,2997.97,0.66948,0.34992,0.88644,0.98217,0.98052,0.99288,0.83974,0.62729,0.3044,0.8852,0.0087724,0.0087724,0.0087724
